script_text,prompt_img_nano,prompt_video_veo3
大切なのは、水分をしっかり摂ること自体です。,"Generate a clean editorial manga illustration in a seinen soft educational style. A close-up of an older Japanese person's weathered hand (age spots, gentle wrinkles) holding a glass of water at a comfortable temperature, emphasizing hydration itself. Japanese kitchen background, warm morning light. No readable text. Avoid photorealistic drift, avoid youth drift.","Very slow camera push-in. The object remains stable with subtle light reflections shifting slowly across its surface. Gentle dust motes or steam may drift slightly in the air. Clean editorial mood. (Silent video, no audio). No speaking, no chaotic movement, no unnatural morphing."
温度は、ご自身の体に合ったものを選んでいただければ安心ですよ。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair gives a gentle reassuring smile and a small nod, suggesting personal choice is fine. Same Japanese living room, same wardrobe, soft morning light. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
3つ目は、起きてからしばらく動かずにじっとしていることです。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair raises three fingers gently, transitional gesture introducing the third habit, calm educational expression. Same Japanese living room, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
朝起きて、そのままソファに座ってテレビを見ている。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese man (silver-gray hair, facial wrinkles, relaxed posture, age 65-75) sits motionless on a low Japanese sofa watching a small TV set in a Japanese living room, morning light filtering through curtains. Slippers on, still in house clothes, prolonged stillness. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
新聞を読みながら、気がつくと1時間以上動いていなかった。,"Generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese man (silver-gray hair, wrinkles) sits in the same Japanese living room reading a folded newspaper, a wall clock showing over an hour has passed since waking. Body still in the same seated position. Same morning light, same wardrobe. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
こういう朝は、体がなかなか活動モードに入れないんです。,"Generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese man (silver-gray hair, wrinkles) still sitting on the sofa, body language showing sluggishness — slightly slumped, legs still, body unable to switch to active mode. Same Japanese living room, morning light now brighter. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
座ったままの状態が長く続くと、血のめぐりがゆっくりのままになりやすくなります。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration: a seated older person's body silhouette (silver hair) with slow-flowing blood circulation indicated by gentle dim arrows moving sluggishly through the limbs. Clean educational metaphor, low-saturation cool palette with warm accents. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
筋肉も冷えたままで、体としてはまだ寝ている延長のような感覚です。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic scene: cold inactive muscles shown as dim blue-tinted limbs on a seated older body silhouette, the body still feeling like an extension of sleep. Gentle educational metaphor, cool muted tones, clean composition. No readable text. Avoid photorealistic drift, avoid dramatic medical imagery.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
世界保健機関も厚生労働省も、高齢者の長時間の座りっぱなしを減らすことを勧めています。,"Generate a clean editorial manga illustration in a seinen soft educational style. A clean symbolic composition: gentle icons representing health organizations next to an icon of a seated person with an arrow suggesting standing up, referencing official guidance on reducing prolonged sitting. Clean flat colors, panel-like clarity. No readable text. Avoid fake scientific proof imagery, avoid photorealistic drift.","Very slow camera push-in. The object remains stable with subtle light reflections shifting slowly across its surface. Gentle dust motes or steam may drift slightly in the air. Clean editorial mood. (Silent video, no audio). No speaking, no chaotic movement, no unnatural morphing."
でも、運動をしなければいけない、ということではありません。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles makes a calming wave-off gesture, reassuring that exercise is not required, gentle supportive expression. Same Japanese living room, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
カーテンを開けに立ち上がる。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese woman (silver-white hair, gentle wrinkles, age 65-75) stands and reaches to open curtains in a Japanese living room, soft morning light about to flood in. Practical Japanese senior home clothes, calm purposeful movement. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
台所で軽くお湯を沸かす。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, wrinkles, age 65-75) stands at a small Japanese kitchen counter, turning on a gas stove to boil water in a kettle, simple morning task. Ordinary Japanese apartment kitchen, warm morning light. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
玄関先で少しだけ外の空気を吸ってみる。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese man (silver-gray hair, gentle wrinkles, age 65-75) stands at his Japanese apartment genkan (entryway), door slightly open, taking a breath of fresh morning air. Japanese residential entrance with shoe shelf, gentle outdoor morning light. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
ベランダに出て、お花に水をやるだけでもいいんです。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese woman (silver-white hair, gentle wrinkles, age 65-75) stands on a small Japanese apartment balcony, watering potted flowers with a small watering can. Gentle morning sunlight, Japanese urban residential backdrop. Practical home clothes. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
それだけで、体は今日は動いていいんだと感じ始めます。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration: an older person's body silhouette (silver hair) now brightening internally after simple morning movements, with gentle upward energy arrows. The body recognizing it is okay to move today. Warm sunrise palette, clean educational metaphor. No readable text. Avoid photorealistic drift, avoid infographic overload.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
朝の最初の30分に、ほんの少しでも体を動かしてみてください。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles makes a gentle encouraging gesture, calm expression suggesting just the first 30 minutes matter. Same Japanese living room, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
朝日を浴びながら動くと、体内時計のリセットにもつながります。,"Generate a clean editorial manga illustration in a seinen soft educational style. A peaceful Japanese residential neighborhood scene in early morning: gentle sunlight washing over a quiet street with small gardens, an older person's silhouette walking slowly in the distance. Body clock reset suggested by warm golden light. Clean composition, breathing space. No readable text. Avoid photorealistic drift.","Slow steady horizontal pan across the peaceful scene. Subtle gentle wind moves leaves or fabric slightly. Soft morning light shifts at a natural pace. Serene and breathing mood. (Silent video, no audio). No speaking, no rapid camera movement, no unnatural morphing, no sudden cuts."
激しいことは何もいりません。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair gives a calm reassuring nod, gentle concluding expression for this section — nothing intense is needed. Same Japanese living room, same wardrobe, soft morning light. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
さて、ここからは朝の過ごし方そのものについてです。,"Generate a clean editorial manga illustration in a seinen soft educational style. A calm transitional scene: a quiet Japanese kitchen-to-hallway view in morning light, suggesting a shift from body mechanics to morning lifestyle habits. Warm flat colors, breathing space composition. No readable text. Avoid photorealistic drift, avoid cluttered composition.","Slow steady horizontal pan across the peaceful scene. Subtle gentle wind moves leaves or fabric slightly. Soft morning light shifts at a natural pace. Serene and breathing mood. (Silent video, no audio). No speaking, no rapid camera movement, no unnatural morphing, no sudden cuts."
4つ目は、朝の支度を急いでしまうことです。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair raises four fingers gently, transitional gesture introducing the fourth habit, calm educational expression. Same Japanese living room, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
着替えを急いで、朝食を慌ただしく食べて、バタバタと出かける。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese woman (silver-white hair, gentle wrinkles, age 65-75) rushes through her Japanese apartment hallway, hastily putting on a cardigan while glancing at a clock, a half-eaten breakfast visible on the table behind. Hurried body language, Japanese apartment interior, morning light. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
忙しい朝は、つい体にそういうリズムを押しつけてしまいがちですよね。,"Generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman (silver-white hair, wrinkles) at her Japanese genkan, hastily putting on shoes while holding a bag, rushed stressed body language. Same Japanese apartment entryway, same wardrobe family, morning light. No readable text. Avoid photorealistic drift, avoid youth drift, avoid dramatic expression.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
でも、急ぐと体のストレス反応が強くなります。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration: a stressed older body silhouette (silver hair) with a rising stress meter and a heart icon under mild pressure, representing the body's stress response from rushing. Clean educational metaphor, warm-to-tense color transition, low clutter. No readable text. Avoid photorealistic drift, avoid dramatic medical imagery.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
血圧が急に上がったり、心臓に余計な負担がかかることがあります。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic split: blood pressure rising (upward arrow near heart) and heart under extra load, shown as a calm educational body diagram of an older person (silver hair visible). Warm concerned palette but not alarming, clean composition. No readable text. Avoid fake scientific proof imagery, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
若いころなら、それでもすぐに回復できたかもしれません。,"Generate a clean editorial manga illustration in a seinen soft educational style. A brief contrast: a younger Japanese person (age 30s, dark hair) recovering quickly from a morning rush, bouncing back easily. Clean editorial composition, warm colors. No readable text. Avoid photorealistic drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
でも60歳を過ぎると、こうしたストレスへの調節に、体が前より時間がかかるようになります。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, wrinkles, age 65-75) sitting tiredly after rushing, with a subtle depleted battery icon beside them suggesting the body takes longer to recover from stress after 60. Japanese living room, warm but subdued palette. No readable text. Avoid photorealistic drift, avoid youth drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
朝の最初の1時間で使ってしまったエネルギーは、午後には戻ってこないこともあるんです。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic energy bar: the first hour of morning shown consuming most energy from rushing, with the afternoon section nearly empty. Clean educational metaphor, panel-like layout, warm-to-cool gradient. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
対策は、意外とシンプルです。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles makes a calm open gesture suggesting simplicity, bright reassuring expression. Same Japanese living room, same wardrobe family, soft morning light. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
前の晩に着るものを用意しておく。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, wrinkles, age 65-75) calmly lays out tomorrow's clothes on a Japanese tatami mat or chair the night before, relaxed evening preparation. Japanese bedroom, warm evening lamp light. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
出かける時間に、十分から十五分の余裕を持たせる。,"Generate a clean editorial manga illustration in a seinen soft educational style. A Japanese wall clock showing departure time with a comfortable buffer, an older Japanese person (silver-gray hair, wrinkles) in the background calmly putting on shoes at a normal pace. Japanese apartment genkan, morning light. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
それだけで、朝の体への負担はずいぶん軽くなります。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, gentle wrinkles, age 65-75) walks through their Japanese apartment hallway at a comfortable pace, relaxed posture, no rush. Morning light, warm flat colors, calm atmosphere. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
急がなくていいんです。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair makes a calming slow-down gesture with both hands, gentle reassuring expression saying there is no need to rush. Same Japanese living room, same wardrobe. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
ゆっくりでいい朝こそ、体は楽に感じます。,"Generate a clean editorial manga illustration in a seinen soft educational style. A peaceful Japanese morning scene: a quiet Japanese residential street with gentle sunlight, an older person walking slowly and comfortably in the distance. Warm breathing-space composition, calm flat colors. No readable text. Avoid photorealistic drift.","Slow steady horizontal pan across the peaceful scene. Subtle gentle wind moves leaves or fabric slightly. Soft morning light shifts at a natural pace. Serene and breathing mood. (Silent video, no audio). No speaking, no rapid camera movement, no unnatural morphing, no sudden cuts."
最後の5つ目は、朝に予定を詰め込みすぎることです。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair shows all five fingers with a calm presentational gesture, introducing the final fifth habit. Same Japanese living room, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
午前中が一番元気だから、と用事を全部朝に集中させていませんか。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese woman (silver-white hair, gentle wrinkles, age 65-75) looks at a long handwritten to-do list on a Japanese kitchen table, overwhelmed expression, many tasks crowded into the morning. Japanese apartment kitchen, morning light. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
買い物、掃除、通院、洗濯。,"Generate a clean editorial manga illustration in a seinen soft educational style. A busy montage-like composition: an older Japanese person (silver-gray hair, wrinkles, age 65-75) shown in multiple overlapping poses — carrying shopping bags, pushing a vacuum, checking a clinic schedule — all crammed into one morning scene. Japanese apartment and neighborhood context, morning light. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
あれもこれもと動き回って、気がつくとお昼前にはもうぐったりしてしまう。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, wrinkles, age 65-75) slumps exhaustedly on a Japanese sofa before noon, completely drained, arms limp at sides. Japanese living room, midday light. Subdued warm palette suggesting energy depletion. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
午後になると何もする気が起きない。,"Generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese person (silver-gray hair, wrinkles) sits motionless in a Japanese tatami room in the afternoon, no motivation to do anything, staring out the window. Warm but subdued afternoon light. Same wardrobe family. No readable text. Avoid photorealistic drift, avoid youth drift, avoid dramatic depression imagery.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
これは、朝のうちにエネルギーを使い切ってしまっている状態なんです。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic energy bar illustration: morning section fully depleted from overuse, afternoon and evening sections empty. Clean educational metaphor showing energy used up too early. Panel-like layout, warm-to-cool gradient. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
実は、リハビリの現場などでも使われているペーシングという考え方があります。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration of the pacing concept: a calm timeline divided into morning, afternoon, and evening blocks, with tasks distributed evenly across them instead of crowded in the morning. Clean educational metaphor, balanced warm palette, panel-like clarity. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
難しいことではありません。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles makes a reassuring open gesture, calm expression conveying that pacing is simple. Same Japanese living room, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
簡単に言えば、疲れ切る前に休む、一日のやることを分けて配分する、という工夫です。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic split illustration: on one side, resting before exhaustion (energy bar still half full); on the other side, distributing tasks across the day (balanced schedule). Clean educational metaphor, warm balanced palette. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
朝はひとつかふたつの大事なことだけにする。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, wrinkles, age 65-75) sits calmly at a Japanese kitchen table, looking at a simplified morning plan with only one or two items marked. Relaxed posture, content expression. Japanese apartment, morning light. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
残りは午後に回す、あるいは別の日にする。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, wrinkles, age 65-75) looks at a simple weekly planner on a Japanese kitchen table, some tasks moved to afternoon or another day. Calm organized body language. Japanese apartment interior, soft daylight. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
今日は買い物だけにしよう、掃除は明日にしよう、というように分けてみてください。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese woman (silver-white hair, gentle wrinkles, age 65-75) walks with a single shopping bag on a quiet Japanese neighborhood street, calm and unhurried, having chosen only shopping for today. Gentle morning light, Japanese residential area. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
そうするだけで、午後の過ごしやすさが変わってくることがあります。,"Generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman (silver-white hair, wrinkles) sits comfortably in a Japanese living room in the afternoon, relaxed and still energetic enough to read or enjoy tea. Warm afternoon light. Same wardrobe family. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
朝のエネルギーを全部使い切らないこと。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic energy bar illustration: morning section used moderately, afternoon section still has energy remaining, a gentle reserve visible. Clean educational metaphor, warm balanced palette. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
その余裕が、一日を楽にしてくれるかもしれませんね。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles gives a warm gentle smile with a small nod, suggesting that keeping some energy in reserve makes the whole day easier. Same Japanese living room, same wardrobe, soft light. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
ここまで5つの習慣を一緒に見てきました。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles sits at the Japanese table with both hands resting calmly, warm reflective expression, beginning the closing summary. Same Japanese living room, same wardrobe family, soft afternoon light. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
