unit_index,i2v_mode,motion_strategy,recommended_duration_sec,motion_role,attention_target,prompt_video_veo3
63,first_frame_only,comparison_parallax_hold,8,checklist,the simple note-taking action,"Focused motion beat 64 for simple notebook and consultation cue. checklist role; Steady observational hold; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
64,first_frame_only,environment_breathing_pan,4,expert_emphasis,the body-signal awareness cue,"Focused motion beat 65 for calm symptom awareness. expert emphasis role; Slow forward drift; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
65,first_frame_only,daily_action_follow,6,solution_demo,the body-signal awareness cue,"Focused motion beat 66 for calm symptom awareness. solution demo role; Gentle lateral slide; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
66,first_frame_only,process_signal_pulse,6,danger_reveal,the body-signal awareness cue,"Focused motion beat 67 for calm symptom awareness. danger reveal role; Soft overhead-to-front tilt; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
67,first_frame_only,object_in_use_micro,8,near_miss,the body-signal awareness cue,"Focused motion beat 68 for calm symptom awareness. near miss role; Measured parallax hold; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
68,first_frame_only,comparison_reveal_shift,4,contrast,the quiet explanatory cue,"Focused motion beat 69 for senior wellness explanation. contrast role; Calm push-in; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
69,first_frame_only,environment_observe_tilt,6,checklist,the simple note-taking action,"Focused motion beat 70 for simple notebook and consultation cue. checklist role; Subtle rightward pan; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
70,first_frame_only,daily_pause_observe,6,expert_emphasis,the quiet explanatory cue,"Focused motion beat 71 for senior wellness explanation. expert emphasis role; Slow reveal drift; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
71,first_frame_only,object_inspection_push,8,solution_demo,the calmer sleep environment,"Focused motion beat 72 for bedroom environment. solution demo role; Steady observational hold; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
72,first_frame_only,process_layer_drift,4,danger_reveal,the quiet explanatory cue,"Focused motion beat 73 for senior wellness explanation. danger reveal role; Slow forward drift; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
73,first_frame_only,comparison_parallax_hold,6,near_miss,the quiet explanatory cue,"Focused motion beat 74 for senior wellness explanation. near miss role; Gentle lateral slide; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
74,first_frame_only,environment_breathing_pan,6,contrast,the body-signal awareness cue,"Focused motion beat 75 for calm symptom awareness. contrast role; Soft overhead-to-front tilt; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
75,first_frame_only,daily_action_follow,8,checklist,the simple note-taking action,"Focused motion beat 76 for simple notebook and consultation cue. checklist role; Measured parallax hold; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
76,first_frame_only,process_signal_pulse,4,expert_emphasis,the simple note-taking action,"Focused motion beat 77 for simple notebook and consultation cue. expert emphasis role; Calm push-in; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
77,first_frame_only,object_in_use_micro,6,solution_demo,the quiet explanatory cue,"Focused motion beat 78 for senior wellness explanation. solution demo role; Subtle rightward pan; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
78,first_frame_only,comparison_reveal_shift,6,danger_reveal,the quiet explanatory cue,"Focused motion beat 79 for senior wellness explanation. danger reveal role; Slow reveal drift; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
79,first_frame_only,environment_observe_tilt,8,near_miss,the quiet explanatory cue,"Focused motion beat 80 for senior wellness explanation. near miss role; Steady observational hold; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
80,first_frame_only,daily_pause_observe,4,contrast,the quiet explanatory cue,"Focused motion beat 81 for senior wellness explanation. contrast role; Slow forward drift; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
81,first_frame_only,object_inspection_push,6,checklist,the simple note-taking action,"Focused motion beat 82 for simple notebook and consultation cue. checklist role; Gentle lateral slide; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
82,first_frame_only,process_layer_drift,6,expert_emphasis,the simple note-taking action,"Focused motion beat 83 for simple notebook and consultation cue. expert emphasis role; Soft overhead-to-front tilt; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
83,first_frame_only,comparison_parallax_hold,8,solution_demo,the quiet explanatory cue,"Focused motion beat 84 for senior wellness explanation. solution demo role; Measured parallax hold; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
84,first_frame_only,environment_breathing_pan,4,danger_reveal,the quiet explanatory cue,"Focused motion beat 85 for senior wellness explanation. danger reveal role; Calm push-in; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
85,first_frame_only,daily_action_follow,6,near_miss,the simple note-taking action,"Focused motion beat 86 for simple notebook and consultation cue. near miss role; Subtle rightward pan; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
86,first_frame_only,process_signal_pulse,6,contrast,the quiet explanatory cue,"Focused motion beat 87 for senior wellness explanation. contrast role; Slow reveal drift; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
87,first_frame_only,object_in_use_micro,8,checklist,the quiet explanatory cue,"Focused motion beat 88 for senior wellness explanation. checklist role; Steady observational hold; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
88,first_frame_only,comparison_reveal_shift,4,expert_emphasis,the quiet explanatory cue,"Focused motion beat 89 for senior wellness explanation. expert emphasis role; Slow forward drift; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
89,first_frame_only,environment_observe_tilt,6,solution_demo,the simple note-taking action,"Focused motion beat 90 for simple notebook and consultation cue. solution demo role; Gentle lateral slide; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
90,first_frame_only,daily_pause_observe,6,danger_reveal,the calmer sleep environment,"Focused motion beat 91 for bedroom environment. danger reveal role; Soft overhead-to-front tilt; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
91,first_frame_only,object_inspection_push,8,near_miss,the body-signal awareness cue,"Focused motion beat 92 for calm symptom awareness. near miss role; Measured parallax hold; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
92,first_frame_only,process_layer_drift,4,contrast,the simple note-taking action,"Focused motion beat 93 for simple notebook and consultation cue. contrast role; Calm push-in; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
93,first_frame_only,comparison_parallax_hold,6,checklist,the body-signal awareness cue,"Focused motion beat 94 for calm symptom awareness. checklist role; Subtle rightward pan; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
94,first_frame_only,environment_breathing_pan,6,expert_emphasis,the simple note-taking action,"Focused motion beat 95 for simple notebook and consultation cue. expert emphasis role; Slow reveal drift; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
95,first_frame_only,daily_action_follow,8,solution_demo,the quiet explanatory cue,"Focused motion beat 96 for senior wellness explanation. solution demo role; Steady observational hold; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
96,first_frame_only,process_signal_pulse,4,danger_reveal,the review areas,"Focused motion beat 97 for three gentle review areas. danger reveal role; Slow forward drift; the camera glides from the window-light area toward the notebook area in a restrained comparison. Keep attention on the review areas. subtle parallax separates the review areas. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
97,first_frame_only,object_in_use_micro,6,near_miss,the review areas,"Focused motion beat 98 for three gentle review areas. near miss role; Gentle lateral slide; the camera glides from the window-light area toward the notebook area in a restrained comparison. Keep attention on the review areas. subtle parallax separates the review areas. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
98,first_frame_only,comparison_reveal_shift,6,contrast,the daylight entering the room,"Focused motion beat 99 for window daylight and curtain. contrast role; Soft overhead-to-front tilt; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
99,first_frame_only,environment_observe_tilt,8,checklist,the daylight entering the room,"Focused motion beat 100 for window daylight and curtain. checklist role; Measured parallax hold; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
100,first_frame_only,daily_pause_observe,4,expert_emphasis,the simple note-taking action,"Focused motion beat 101 for simple notebook and consultation cue. expert emphasis role; Calm push-in; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
101,first_frame_only,object_inspection_push,6,solution_demo,the calmer morning start,"Focused motion beat 102 for calm morning close. solution demo role; Subtle rightward pan; the subject relaxes the shoulders slightly as daylight settles into the room. Keep attention on the calmer morning start. curtains and paper edges move almost imperceptibly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
102,first_frame_only,process_layer_drift,6,danger_reveal,the daylight entering the room,"Focused motion beat 103 for window daylight and curtain. danger reveal role; Slow reveal drift; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
103,first_frame_only,comparison_parallax_hold,8,near_miss,the calmer sleep environment,"Focused motion beat 104 for bedroom environment. near miss role; Steady observational hold; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
104,first_frame_only,environment_breathing_pan,4,contrast,the simple note-taking action,"Focused motion beat 105 for simple notebook and consultation cue. contrast role; Slow forward drift; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
105,first_frame_only,daily_action_follow,6,checklist,the calmer morning start,"Focused motion beat 106 for calm morning close. checklist role; Gentle lateral slide; the subject relaxes the shoulders slightly as daylight settles into the room. Keep attention on the calmer morning start. curtains and paper edges move almost imperceptibly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
106,first_frame_only,process_signal_pulse,6,expert_emphasis,the calmer morning start,"Focused motion beat 107 for calm morning close. expert emphasis role; Soft overhead-to-front tilt; the subject relaxes the shoulders slightly as daylight settles into the room. Keep attention on the calmer morning start. curtains and paper edges move almost imperceptibly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
107,first_frame_only,object_in_use_micro,8,solution_demo,the calmer morning start,"Focused motion beat 108 for calm morning close. solution demo role; Measured parallax hold; the subject relaxes the shoulders slightly as daylight settles into the room. Keep attention on the calmer morning start. curtains and paper edges move almost imperceptibly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
108,first_frame_only,comparison_reveal_shift,4,danger_reveal,the calmer morning start,"Focused motion beat 109 for calm morning close. danger reveal role; Calm push-in; the subject relaxes the shoulders slightly as daylight settles into the room. Keep attention on the calmer morning start. curtains and paper edges move almost imperceptibly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
109,first_frame_only,environment_observe_tilt,6,near_miss,the calmer morning start,"Focused motion beat 110 for calm morning close. near miss role; Subtle rightward pan; the subject relaxes the shoulders slightly as daylight settles into the room. Keep attention on the calmer morning start. curtains and paper edges move almost imperceptibly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
