unit_index,i2v_mode,motion_strategy,recommended_duration_sec,motion_role,attention_target,prompt_video_veo3
66,first_frame_only,process_layer_drift,6,contrast,comfort items,"Motion beat 067 uses contrast focus on comfort items. Use a gentle left-to-right pan toward comfort items; the cardigan edge and water bottle shift slightly as the items are arranged. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
67,first_frame_only,host_listening_drift,6,checklist,reception pouch,"Motion beat 068 uses checklist focus on reception pouch. Use a soft downward tilt toward reception pouch; the hands gently slide the pouch closer to the camera. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
68,first_frame_only,environment_breathing_pan,6,expert_emphasis,blank memo paper and pen,"Motion beat 069 uses expert_emphasis focus on blank memo paper and pen. Use a small parallax drift toward blank memo paper and pen; the pen hand finishes a small stroke and rests beside the blank memo. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
69,first_last_frame_transition,comparison_reveal_shift,8,solution_demo,shoes and hands-free bag,"Motion beat 070 uses solution_demo focus on shoes and hands-free bag. Use a steady close-up hold with slight settling toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
70,first_frame_only,object_inspection_push,4,checklist,shoes and hands-free bag,"Motion beat 071 uses checklist focus on shoes and hands-free bag. Use a slow push-in toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
71,first_frame_only,daily_action_follow,6,contrast,medicine pouch,"Motion beat 072 uses contrast focus on medicine pouch. Use a gentle left-to-right pan toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
72,first_frame_only,daily_pause_observe,4,solution_demo,prepared items,"Motion beat 073 uses solution_demo focus on prepared items. Use a soft downward tilt toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
73,first_frame_only,object_in_use_micro,6,expert_emphasis,shoes and hands-free bag,"Motion beat 074 uses expert_emphasis focus on shoes and hands-free bag. Use a small parallax drift toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
74,first_frame_only,environment_observe_tilt,6,checklist,blank memo paper and pen,"Motion beat 075 uses checklist focus on blank memo paper and pen. Use a steady close-up hold with slight settling toward blank memo paper and pen; the pen hand finishes a small stroke and rests beside the blank memo. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
75,first_last_frame_transition,comparison_parallax_hold,8,solution_demo,reception pouch,"Motion beat 076 uses solution_demo focus on reception pouch. Use a slow push-in toward reception pouch; the hands gently slide the pouch closer to the camera. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
76,first_frame_only,process_layer_drift,6,contrast,shoes and hands-free bag,"Motion beat 077 uses contrast focus on shoes and hands-free bag. Use a gentle left-to-right pan toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
77,first_frame_only,host_listening_drift,6,checklist,shoes and hands-free bag,"Motion beat 078 uses checklist focus on shoes and hands-free bag. Use a soft downward tilt toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
78,first_frame_only,environment_breathing_pan,6,expert_emphasis,shoes and hands-free bag,"Motion beat 079 uses expert_emphasis focus on shoes and hands-free bag. Use a small parallax drift toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
79,first_last_frame_transition,comparison_reveal_shift,8,solution_demo,comfort items,"Motion beat 080 uses solution_demo focus on comfort items. Use a steady close-up hold with slight settling toward comfort items; the cardigan edge and water bottle shift slightly as the items are arranged. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
80,first_frame_only,object_inspection_push,4,checklist,shoes and hands-free bag,"Motion beat 081 uses checklist focus on shoes and hands-free bag. Use a slow push-in toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
81,first_frame_only,daily_action_follow,6,contrast,shoes and hands-free bag,"Motion beat 082 uses contrast focus on shoes and hands-free bag. Use a gentle left-to-right pan toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
82,first_frame_only,daily_pause_observe,4,solution_demo,organized pouches,"Motion beat 083 uses solution_demo focus on organized pouches. Use a soft downward tilt toward organized pouches; the pouches settle into a neat row without showing any readable writing. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
83,first_frame_only,object_in_use_micro,6,expert_emphasis,reception pouch,"Motion beat 084 uses expert_emphasis focus on reception pouch. Use a small parallax drift toward reception pouch; the hands gently slide the pouch closer to the camera. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
84,first_frame_only,environment_observe_tilt,6,checklist,medicine pouch,"Motion beat 085 uses checklist focus on medicine pouch. Use a steady close-up hold with slight settling toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
85,first_last_frame_transition,comparison_parallax_hold,8,solution_demo,blank memo paper and pen,"Motion beat 086 uses solution_demo focus on blank memo paper and pen. Use a slow push-in toward blank memo paper and pen; the pen hand finishes a small stroke and rests beside the blank memo. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
86,first_frame_only,process_layer_drift,6,contrast,comfort items,"Motion beat 087 uses contrast focus on comfort items. Use a gentle left-to-right pan toward comfort items; the cardigan edge and water bottle shift slightly as the items are arranged. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
87,first_frame_only,host_listening_drift,6,checklist,shoes and hands-free bag,"Motion beat 088 uses checklist focus on shoes and hands-free bag. Use a soft downward tilt toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
88,first_frame_only,environment_breathing_pan,6,expert_emphasis,organized pouches,"Motion beat 089 uses expert_emphasis focus on organized pouches. Use a small parallax drift toward organized pouches; the pouches settle into a neat row without showing any readable writing. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
89,first_last_frame_transition,comparison_reveal_shift,8,solution_demo,prepared bag near the door,"Motion beat 090 uses solution_demo focus on prepared bag near the door. Use a steady close-up hold with slight settling toward prepared bag near the door; the bag strap sways slightly and then becomes still. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
90,first_frame_only,object_inspection_push,4,checklist,shoes and hands-free bag,"Motion beat 091 uses checklist focus on shoes and hands-free bag. Use a slow push-in toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
91,first_frame_only,daily_action_follow,6,contrast,shoes and hands-free bag,"Motion beat 092 uses contrast focus on shoes and hands-free bag. Use a gentle left-to-right pan toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
92,first_frame_only,daily_pause_observe,4,solution_demo,shoes and hands-free bag,"Motion beat 093 uses solution_demo focus on shoes and hands-free bag. Use a soft downward tilt toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
93,first_frame_only,object_in_use_micro,6,expert_emphasis,prepared bag near the door,"Motion beat 094 uses expert_emphasis focus on prepared bag near the door. Use a small parallax drift toward prepared bag near the door; the bag strap sways slightly and then becomes still. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
94,first_frame_only,environment_observe_tilt,6,checklist,prepared items,"Motion beat 095 uses checklist focus on prepared items. Use a steady close-up hold with slight settling toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
95,first_last_frame_transition,comparison_parallax_hold,8,solution_demo,prepared items,"Motion beat 096 uses solution_demo focus on prepared items. Use a slow push-in toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
96,first_frame_only,process_layer_drift,6,contrast,blank memo paper and pen,"Motion beat 097 uses contrast focus on blank memo paper and pen. Use a gentle left-to-right pan toward blank memo paper and pen; the pen hand finishes a small stroke and rests beside the blank memo. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
97,first_frame_only,host_listening_drift,6,checklist,reception pouch,"Motion beat 098 uses checklist focus on reception pouch. Use a soft downward tilt toward reception pouch; the hands gently slide the pouch closer to the camera. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
98,first_frame_only,environment_breathing_pan,6,expert_emphasis,supportive conversation posture,"Motion beat 099 uses expert_emphasis focus on supportive conversation posture. Use a small parallax drift toward supportive conversation posture; both seated figures nod gently without speaking. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
99,first_last_frame_transition,comparison_reveal_shift,8,solution_demo,prepared items,"Motion beat 100 uses solution_demo focus on prepared items. Use a steady close-up hold with slight settling toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
100,first_frame_only,object_inspection_push,4,checklist,prepared items,"Motion beat 101 uses checklist focus on prepared items. Use a slow push-in toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
101,first_frame_only,daily_action_follow,6,contrast,prepared items,"Motion beat 102 uses contrast focus on prepared items. Use a gentle left-to-right pan toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
102,first_frame_only,daily_pause_observe,4,solution_demo,prepared items,"Motion beat 103 uses solution_demo focus on prepared items. Use a soft downward tilt toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
103,first_frame_only,object_in_use_micro,6,expert_emphasis,organized pouches,"Motion beat 104 uses expert_emphasis focus on organized pouches. Use a small parallax drift toward organized pouches; the pouches settle into a neat row without showing any readable writing. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
104,first_frame_only,environment_observe_tilt,6,checklist,reception pouch,"Motion beat 105 uses checklist focus on reception pouch. Use a steady close-up hold with slight settling toward reception pouch; the hands gently slide the pouch closer to the camera. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
105,first_last_frame_transition,comparison_parallax_hold,8,solution_demo,organized pouches,"Motion beat 106 uses solution_demo focus on organized pouches. Use a slow push-in toward organized pouches; the pouches settle into a neat row without showing any readable writing. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
106,first_frame_only,process_layer_drift,6,contrast,reception pouch,"Motion beat 107 uses contrast focus on reception pouch. Use a gentle left-to-right pan toward reception pouch; the hands gently slide the pouch closer to the camera. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
107,first_frame_only,host_listening_drift,6,checklist,prepared items,"Motion beat 108 uses checklist focus on prepared items. Use a soft downward tilt toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
108,first_frame_only,environment_breathing_pan,6,expert_emphasis,prepared items,"Motion beat 109 uses expert_emphasis focus on prepared items. Use a small parallax drift toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
109,first_last_frame_transition,comparison_reveal_shift,8,solution_demo,prepared items,"Motion beat 110 uses solution_demo focus on prepared items. Use a steady close-up hold with slight settling toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
110,first_frame_only,object_inspection_push,4,checklist,prepared items,"Motion beat 111 uses checklist focus on prepared items. Use a slow push-in toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
